iter	Passed	Remaining
0	9	2470
1	18	2307
2	24	2024
3	30	1899
4	37	1815
5	44	1796
6	51	1774
7	56	1721
8	61	1655
9	66	1599
10	71	1552
11	76	1507
12	80	1471
13	85	1436
14	89	1405
15	94	1385
16	99	1360
17	103	1339
18	108	1319
19	113	1303
20	117	1285
21	122	1271
22	127	1260
23	132	1247
24	137	1233
25	141	1223
26	150	1245
27	155	1235
28	160	1225
29	165	1212
30	169	1200
31	174	1190
32	179	1179
33	185	1178
34	192	1180
35	198	1180
36	204	1177
37	210	1174
38	216	1170
39	222	1169
40	228	1165
41	233	1156
42	238	1147
43	243	1138
44	248	1130
45	252	1121
46	257	1112
47	262	1104
48	267	1095
49	271	1087
50	276	1078
51	281	1070
52	290	1078
53	294	1070
54	299	1061
55	304	1055
56	309	1048
57	314	1041
58	319	1034
59	324	1026
60	368	1143
61	382	1158
62	395	1173
63	409	1190
64	423	1206
65	462	1289
66	489	1336
67	504	1351
68	548	1439
69	557	1434
70	564	1422
71	571	1413
72	578	1401
73	592	1408
74	605	1413
75	612	1401
76	619	1390
77	625	1378
78	633	1371
79	649	1380
80	667	1393
81	688	1411
82	711	1431
83	737	1457
84	755	1466
85	780	1489
86	790	1481
87	809	1490
88	837	1514
89	853	1517
90	862	1507
91	871	1496
92	878	1483
93	887	1472
94	899	1467
95	906	1454
96	917	1446
97	928	1439
98	934	1425
99	941	1412
100	949	1400
101	961	1395
102	967	1381
103	973	1367
104	981	1355
105	988	1342
106	997	1333
107	1004	1320
108	1011	1308
109	1018	1296
110	1032	1293
111	1040	1281
112	1047	1270
113	1053	1256
114	1070	1256
115	1077	1244
116	1084	1232
117	1091	1221
118	1098	1209
119	1104	1197
120	1112	1185
121	1123	1179
122	1130	1167
123	1143	1162
124	1149	1149
125	1159	1140
126	1166	1129
127	1174	1119
128	1180	1107
129	1187	1096
130	1194	1084
131	1200	1073
132	1207	1062
133	1214	1051
134	1222	1041
135	1228	1030
136	1242	1025
137	1250	1014
138	1257	1004
139	1264	993
140	1271	982
141	1277	971
142	1287	963
143	1295	953
144	1310	949
145	1319	939
146	1326	929
147	1332	918
148	1343	910
149	1349	899
150	1356	889
151	1367	881
152	1373	870
153	1379	859
154	1385	849
155	1394	840
156	1401	830
157	1408	820
158	1414	809
159	1422	799
160	1427	789
161	1437	780
162	1444	771
163	1451	761
164	1458	751
165	1468	743
166	1483	737
167	1498	731
168	1514	726
169	1530	720
170	1552	717
171	1572	713
172	1589	707
173	1606	701
174	1624	696
175	1633	686
176	1647	679
177	1664	673
178	1670	662
179	1681	653
180	1695	646
181	1702	636
182	1710	626
183	1719	616
184	1725	606
185	1731	595
186	1738	585
187	1744	575
188	1748	564
189	1753	553
190	1758	543
191	1763	532
192	1767	522
193	1773	511
194	1778	501
195	1783	491
196	1788	481
197	1793	471
198	1798	460
199	1802	450
200	1807	440
201	1814	431
202	1818	421
203	1823	411
204	1828	401
205	1833	391
206	1837	381
207	1842	372
208	1847	362
209	1852	352
210	1857	343
211	1862	333
212	1866	324
213	1871	314
214	1875	305
215	1880	296
216	1884	286
217	1889	277
218	1894	268
219	1899	258
220	1904	249
221	1908	240
222	1913	231
223	1917	222
224	1922	213
225	1927	204
226	1932	195
227	1937	186
228	1942	178
229	1946	169
230	1951	160
231	1955	151
232	1960	143
233	1964	134
234	1969	125
235	1975	117
236	1979	108
237	1984	100
238	1989	91
239	1993	83
240	1998	74
241	2003	66
242	2007	57
243	2012	49
244	2017	41
245	2022	32
246	2026	24
247	2031	16
248	2036	8
249	2041	0
